variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,break_state_at_entry,vah_at_entry,val_at_entry,poc_distance_atr_at_entry
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-05 07:03:00+00:00,62211.2,2024-10-05 07:04:00+00:00,62182.5,-0.0005386682783807819,1,take_profit,-1,62226.775,61272.325,38.08731546231402
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-05 07:09:00+00:00,62154.8,2024-10-05 07:14:00+00:00,62131.3,-0.0006219117429385737,5,take_profit,-1,62158.600000000006,61272.325,36.837249693501754
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-05 07:22:00+00:00,62151.9,2024-10-05 07:25:00+00:00,62125.9,-0.0005816700696197321,3,take_profit,-1,62158.600000000006,61272.325,45.229208669357924
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-05 07:30:00+00:00,62114.0,2024-10-05 07:36:00+00:00,62144.8,-0.001495862446469486,6,hard_stop,-1,62158.600000000006,61272.325,39.287459283390014
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-06 09:53:00+00:00,62073.0,2024-10-06 09:54:00+00:00,62052.8,-0.0006745767080695844,1,take_profit,-1,62119.433333333334,61791.73333333334,8.860413648800831
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-06 09:59:00+00:00,62036.3,2024-10-06 10:06:00+00:00,62003.4,-0.00046966534109860094,7,take_profit,-1,62119.433333333334,61791.73333333334,5.830501618123075
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-06 11:41:00+00:00,62079.9,2024-10-06 11:43:00+00:00,62096.8,-0.001272229819957781,2,breakout_resume_up,-1,62092.125,61791.73333333334,7.498910939012803
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-06 11:49:00+00:00,62088.0,2024-10-06 11:50:00+00:00,62102.3,-0.0012303182579563856,1,breakout_resume_up,-1,62092.125,61791.73333333334,6.913409563409603
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-06 11:56:00+00:00,62090.0,2024-10-06 11:59:00+00:00,62067.1,-0.0006311805443710563,3,take_profit,-1,62092.125,61791.73333333334,7.428273286467593
vpvr_reversion_1m_volume_profile_break_20260709,BTCUSDT,short,2024-10-06 12:09:00+00:00,62063.0,2024-10-06 12:12:00+00:00,62027.1,-0.00042155551616906897,3,take_profit,-1,62092.125,61791.73333333334,4.885280982508142
