symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,pcr_z_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
ETHUSDT,short,2025-12-02 08:00:00,2025-12-02 08:00:00,3005.55,2025-12-03 16:00:00,2025-12-03 16:00:00,3187.07,hard_stop,-615.9494,-0.061595,4,2.4728,0.2698,1.0,100000.0
ETHUSDT,short,2025-12-19 00:00:00,2025-12-19 00:00:00,2950.4,2025-12-23 00:00:00,2025-12-23 00:00:00,2963.58,time_stop,-56.6719,-0.005667,12,1.7372,0.6531,1.0,100000.0
ETHUSDT,short,2025-12-23 16:00:00,2025-12-23 16:00:00,2963.29,2025-12-27 16:00:00,2025-12-27 16:00:00,2947.61,time_stop,40.9142,0.004091,12,2.1563,0.5952,1.0,100000.0
ETHUSDT,long,2026-01-20 16:00:00,2026-01-20 16:00:00,2938.24,2026-01-24 16:00:00,2026-01-24 16:00:00,2952.09,time_stop,35.1371,0.003514,12,-1.6573,0.1176,1.0,100000.0
ETHUSDT,short,2026-01-26 16:00:00,2026-01-26 16:00:00,2928.9,2026-01-27 16:00:00,2026-01-27 16:00:00,3024.92,hard_stop,-339.8364,-0.033984,3,2.9254,0.1566,1.0,100000.0
ETHUSDT,short,2026-02-21 08:00:00,2026-02-21 08:00:00,1987.04,2026-02-23 16:00:00,2026-02-23 16:00:00,1855.47,take_profit,650.1407,0.065014,7,2.912,0.7166,1.0,100000.0
ETHUSDT,long,2026-03-08 00:00:00,2026-03-08 00:00:00,1953.97,2026-03-12 00:00:00,2026-03-12 00:00:00,2039.71,time_stop,426.799,0.04268,12,-1.5626,0.0128,1.0,100000.0
ETHUSDT,long,2026-03-26 00:00:00,2026-03-26 00:00:00,2122.37,2026-03-27 08:00:00,2026-03-27 08:00:00,1990.12,hard_stop,-635.1241,-0.063512,4,-1.8955,0.1289,1.0,100000.0
ETHUSDT,short,2026-04-01 00:00:00,2026-04-01 00:00:00,2130.13,2026-04-05 00:00:00,2026-04-05 00:00:00,2036.0,time_stop,429.8979,0.04299,12,1.6681,0.0907,1.0,100000.0
ETHUSDT,short,2026-04-05 16:00:00,2026-04-05 16:00:00,2109.35,2026-04-07 16:00:00,2026-04-07 16:00:00,2239.14,hard_stop,-627.308,-0.062731,6,1.7955,0.5825,1.0,100000.0
ETHUSDT,short,2026-05-02 08:00:00,2026-05-02 08:00:00,2307.86,2026-05-05 00:00:00,2026-05-05 00:00:00,2379.17,hard_stop,-320.9875,-0.032099,8,2.7523,0.1562,1.0,100000.0
ETHUSDT,long,2026-05-07 00:00:00,2026-05-07 00:00:00,2343.33,2026-05-11 00:00:00,2026-05-11 00:00:00,2329.53,time_stop,-70.8906,-0.007089,12,-1.9178,0.6818,1.0,100000.0
ETHUSDT,long,2026-05-12 00:00:00,2026-05-12 00:00:00,2294.01,2026-05-15 08:00:00,2026-05-15 08:00:00,2221.91,hard_stop,-326.2968,-0.03263,10,-2.176,0.7101,1.0,100000.0
ETHUSDT,short,2026-06-13 08:00:00,2026-06-13 08:00:00,1681.44,2026-06-15 08:00:00,2026-06-15 08:00:00,1844.55,hard_stop,-982.0614,-0.098206,6,1.7136,0.4128,1.0,100000.0
ETHUSDT,long,2026-06-18 08:00:00,2026-06-18 08:00:00,1681.21,2026-06-22 08:00:00,2026-06-22 08:00:00,1744.02,time_stop,361.6,0.03616,12,-1.9355,0.2472,1.0,100000.0
