symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,macro_proximity_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
BTCUSDT,long,2024-08-27 20:00:00,2024-08-27 20:00:00,59384.5,2024-08-30 00:00:00,2024-08-30 00:00:00,59001.0,macro_regime_off,-76.5791,-0.007658,13,-18,0.0918,1.0,100000.0
BTCUSDT,short,2024-08-31 08:00:00,2024-08-31 08:00:00,59093.1,2024-09-05 00:00:00,2024-09-05 00:00:00,57104.1,macro_regime_off,324.5875,0.032459,28,6,0.1101,1.0,100000.0
BTCUSDT,short,2024-09-12 00:00:00,2024-09-12 00:00:00,58197.9,2024-09-13 12:00:00,2024-09-13 12:00:00,59623.5,hard_stop,-256.9573,-0.025696,9,6,0.0234,1.0,100000.0
BTCUSDT,long,2024-09-16 00:00:00,2024-09-16 00:00:00,58546.5,2024-09-17 00:00:00,2024-09-17 00:00:00,58035.2,macro_regime_off,-99.3323,-0.009933,6,-12,0.5684,1.0,100000.0
BTCUSDT,long,2024-09-25 04:00:00,2024-09-25 04:00:00,63814.9,2024-09-26 00:00:00,2024-09-26 00:00:00,63482.9,macro_regime_off,-64.0255,-0.006403,5,-12,0.6087,1.0,100000.0
BTCUSDT,short,2024-10-06 12:00:00,2024-10-06 12:00:00,62690.4,2024-10-07 00:00:00,2024-10-07 00:00:00,63494.6,hard_stop,-140.2812,-0.014028,3,12,0.9841,1.0,100000.0
BTCUSDT,short,2024-10-11 16:00:00,2024-10-11 16:00:00,63042.4,2024-10-14 00:00:00,2024-10-14 00:00:00,64281.6,hard_stop,-208.5661,-0.020857,14,6,0.6884,1.0,100000.0
BTCUSDT,long,2024-10-27 16:00:00,2024-10-27 16:00:00,67816.8,2024-10-28 20:00:00,2024-10-28 20:00:00,69940.0,take_profit,301.0788,0.030108,7,12,0.2232,1.0,100000.0
BTCUSDT,long,2024-11-03 00:00:00,2024-11-03 00:00:00,68367.5,2024-11-06 00:00:00,2024-11-06 00:00:00,74367.1,take_profit,865.5515,0.086555,18,12,0.8152,1.0,100000.0
BTCUSDT,long,2024-11-26 16:00:00,2024-11-26 16:00:00,91760.0,2024-11-27 00:00:00,2024-11-27 00:00:00,92645.3,macro_regime_off,84.4799,0.008448,2,-6,0.5377,1.0,100000.0
BTCUSDT,short,2024-12-03 16:00:00,2024-12-03 16:00:00,95512.7,2024-12-04 20:00:00,2024-12-04 20:00:00,98669.8,hard_stop,-342.5424,-0.034254,7,-18,0.3184,1.0,100000.0
BTCUSDT,long,2024-12-07 00:00:00,2024-12-07 00:00:00,99383.0,2024-12-09 16:00:00,2024-12-09 16:00:00,97126.8,hard_stop,-239.0207,-0.023902,16,6,0.9544,1.0,100000.0
BTCUSDT,long,2024-12-19 16:00:00,2024-12-19 16:00:00,97172.1,2024-12-20 00:00:00,2024-12-20 00:00:00,97083.2,macro_regime_off,-21.1487,-0.002115,2,6,0.0349,1.0,100000.0
BTCUSDT,long,2024-12-21 08:00:00,2024-12-21 08:00:00,98225.3,2024-12-22 16:00:00,2024-12-22 16:00:00,94795.4,hard_stop,-361.187,-0.036119,8,6,0.4447,1.0,100000.0
BTCUSDT,long,2024-12-24 12:00:00,2024-12-24 12:00:00,98243.5,2024-12-26 08:00:00,2024-12-26 08:00:00,95662.7,hard_stop,-274.6942,-0.027469,11,24,0.5815,1.0,100000.0
