pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,exit_reason,gross_pct
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-02T04:15:00,96316.9,227.45,2024-12-02T06:46:00,96372.7,228.24,0.0020939532506491173,152,2.558902815007583,0.4627131286547628,,0,z_mean_revert,0.0028939532506491172
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-02T08:01:00,95965.1,228.76,2024-12-02T08:14:00,95987.9,227.81,0.0035904102928113976,14,-2.1249841279754884,-0.43858074975559347,,0,z_mean_revert,0.0043904102928113975
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-02T23:00:00,95400.3,224.27,2024-12-03T00:33:00,95796.5,224.83,0.0008560365374678198,94,-2.005772634054243,-0.37236535983501234,,0,z_mean_revert,0.0016560365374678199
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-03T06:45:00,96214.1,230.88,2024-12-03T06:56:00,95828.0,227.7,0.008960463432924138,12,-3.783020811371405,0.24427028099602488,,0,z_mean_revert,0.009760463432924138
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-03T14:30:00,94096.2,218.55,2024-12-03T14:34:00,93626.9,215.12,-0.011506900104250461,5,2.5897755450153883,3.846389665895064,,0,adverse_stop,-0.01070690010425046
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-03T14:35:00,93999.9,217.02,2024-12-03T14:53:00,95249.8,224.11,0.01857297736223709,19,3.090847629401071,0.2756767249997089,,0,z_mean_revert,0.019372977362237087
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-03T19:00:00,95343.9,227.05,2024-12-03T21:10:00,95775.2,228.32,-0.0018698571325948868,131,-2.720431174561695,-0.48697955190290787,,0,z_mean_revert,-0.001069857132594887
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-04T02:05:00,96040.1,240.57,2024-12-04T02:25:00,95620.0,236.73,0.010787875515354562,21,-2.5218392726331835,-0.49496486615662555,,0,z_mean_revert,0.011587875515354562
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-04T06:30:00,96756.4,237.24,2024-12-04T09:27:00,96935.0,237.19,-0.002856629767084206,178,2.3024369445253106,0.49453772656359135,,0,z_mean_revert,-0.002056629767084206
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-04T12:56:00,96006.7,232.64,2024-12-04T14:57:00,96064.0,233.1,0.0005804706429898505,122,2.039294337990402,0.312417878064193,,0,z_mean_revert,0.0013804706429898506
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-04T17:15:00,94927.5,225.34,2024-12-04T18:01:00,95671.3,229.96,0.011866898629109635,47,2.538408978073702,0.4499565462236156,,0,z_mean_revert,0.012666898629109635
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-04T21:00:00,98942.4,232.75,2024-12-04T21:18:00,98450.0,234.48,0.011609500753220559,19,2.308448989416988,0.35021712454701703,,0,z_mean_revert,0.01240950075322056
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-04T23:30:00,99016.4,226.53,2024-12-05T01:56:00,98214.3,226.34,0.006461937265871876,147,2.58275568211812,0.49108914009273413,,0,z_mean_revert,0.007261937265871876
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-05T10:00:00,102724.1,237.84,2024-12-05T13:06:00,102800.0,240.66,-0.011917838015979098,187,-2.50190340451771,-0.36802935036019857,,0,z_mean_revert,-0.011117838015979098
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-05T23:00:00,96314.0,234.78,2024-12-06T02:59:00,97657.0,242.99,-0.021824932146549434,240,-3.187939820109704,-0.8986298065296573,,0,max_holding,-0.021024932146549435
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-06T06:00:00,97944.9,238.67,2024-12-06T09:15:00,98160.1,236.16,-0.013513766602275967,196,2.4167852195469623,3.206531015197606,,0,adverse_stop,-0.012713766602275967
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-06T09:30:00,98153.8,235.47,2024-12-06T13:29:00,98105.5,232.42,-0.013260732897831562,240,3.1675136464665945,1.9221679235018805,,0,max_holding,-0.012460732897831561
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-06T15:45:00,99384.8,239.09,2024-12-06T16:10:00,99339.7,237.3,0.006232928755124179,26,-2.194678289083467,-0.40005930533383927,,0,z_mean_revert,0.007032928755124179
BTCUSDT/SOLUSDT,short_a_long_b,2024-12-06T18:31:00,101566.8,240.03,2024-12-06T21:09:00,101223.7,239.13,-0.0011714589463578166,159,2.029698130328455,0.32647211906534257,,0,z_mean_revert,-0.0003714589463578165
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-07T00:01:00,99681.2,237.29,2024-12-07T00:14:00,100136.9,237.15,0.00436156954280289,14,-2.1419070328352956,-0.43056916797252426,,0,z_mean_revert,0.005161569542802891
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-07T04:30:00,99275.0,235.25,2024-12-07T04:45:00,99615.1,235.3,0.002413297469352172,16,-2.251326221779548,-0.3990798913365622,,0,z_mean_revert,0.003213297469352172
BTCUSDT/SOLUSDT,long_a_short_b,2024-12-07T10:00:00,99723.3,238.66,2024-12-07T11:55:00,99730.1,238.49,-1.95009221960245e-05,116,-2.6474870289817094,-0.4717260429954329,,0,z_mean_revert,0.0007804990778039755
