date,equal,risk_parity,correlation_off
2023-12-03,115909.95723018263,103154.4089526422,103112.32802257044
2023-12-04,115571.81820121156,103094.36292322645,103053.25590767188
2023-12-05,115754.783556573,103107.65374382953,103066.99819052665
2023-12-06,115445.7861707534,103058.14181783861,103018.10155414026
2023-12-07,115419.52317284158,102959.76739171799,102923.23609041613
2023-12-08,115213.84440839439,102908.24215876429,102872.29417545046
2023-12-09,115104.32407301501,102893.15192315365,102857.50744237714
2023-12-10,115068.80755674116,102899.00586429123,102862.84505176485
2023-12-11,115719.03124618593,103128.40523239535,103084.61358208137
2023-12-12,115600.49486292271,103108.2940457998,103064.79543959993
2023-12-13,115745.04917225677,103209.38557447572,103163.56028347075
2023-12-14,115665.7949203774,103200.86040489505,103154.98077213648
2023-12-15,115278.57276118812,103144.11857818131,103098.62239854388
2023-12-16,115643.44915255925,103198.25966306022,103152.26418671403
2023-12-17,115550.09374622344,103161.36770086517,103116.6731966731
2023-12-18,115393.83874879057,103082.92253465045,103040.67952165518
2023-12-19,115394.91168357167,103053.52638062637,103011.72234233156
2023-12-20,114725.98431867738,102818.09556306245,102783.43455748902
2023-12-21,115281.83366884605,103045.79644137366,103008.68253473601
2023-12-22,115611.7982046718,103118.21746400361,103079.4628372283
2023-12-23,114900.7482296046,102998.0452428884,102961.01535106428
2023-12-24,114976.15439085034,102996.22066279952,102959.7500734235
2023-12-25,112892.14850516187,102640.31434824209,102609.02312950176
2023-12-26,112433.3652760929,102555.14831782198,102524.2351966102
2023-12-27,112071.6472600821,102403.81363638,102378.29765942782
2023-12-28,112351.69178839448,102466.7287949294,102439.79192330626
2023-12-29,112583.57761380478,102594.62052178865,102564.86427978295
2023-12-30,112875.77456154267,102647.88183959943,102617.49524797087
2023-12-31,113509.18471671152,102790.54555277906,102756.90131769302
2024-01-01,114037.49748834915,102865.46769791917,102830.26967304725
2024-01-02,114026.34816475045,102870.74490488804,102835.20960181391
2024-01-03,114461.59428584657,103036.98562647816,102995.72321497048
2024-01-04,114004.84994283489,102955.64883985711,102915.68072051018
2024-01-05,113769.40053624427,102874.2371602323,102834.19261831466
2024-01-06,113550.333119991,102819.70375383034,102779.66783758283
2024-01-07,113590.36745155908,102817.2973058449,102777.63390193348
2024-01-08,114121.688749211,102925.30761115512,102883.47787420348
2024-01-09,115205.88336548992,103267.093343612,103214.64591190648
