,equal,risk_parity,correlation_off
2025-08-27,102100.44537568167,100550.48258185177,100543.4068972534
2025-08-28,102026.72100227098,100545.0051206503,100537.9312835591
2025-08-29,102096.778921584,100551.85605440111,100544.81625640148
2025-08-30,101844.07997996223,100537.7609622857,100530.82032140001
2025-08-31,101810.32845588909,100535.84446975202,100528.91648471456
2025-09-01,101897.41186666014,100538.58166574303,100531.59385751249
2025-09-02,101828.3103631203,100537.0077538432,100530.09498411782
2025-09-03,101845.80078652971,100534.79930366657,100527.8129610123
2025-09-04,101847.60090919131,100530.00358693063,100522.91405730727
2025-09-05,102083.94617111045,100540.54369489962,100533.37149902251
2025-09-06,102275.29097813259,100499.78424556063,100493.14959981389
2025-09-07,102178.7091118902,100496.33420361675,100489.77764381169
2025-09-08,102153.25634589407,100494.23069851896,100487.66975114244
2025-09-09,102494.66062543054,100512.43854415095,100505.76004119242
2025-09-10,102564.64319602364,100517.78215885427,100511.10682103135
2025-09-11,102896.15090099516,100541.84654172718,100535.16039073638
2025-09-12,102842.11832308533,100540.60181406561,100533.97322379063
2025-09-13,102659.48037892808,100528.30231082613,100521.69903155946
2025-09-14,102648.93393324118,100528.46812040676,100521.90209592946
2025-09-15,102492.36994617495,100519.55796549923,100513.04825316087
2025-09-16,102752.35796720641,100536.07129011121,100529.50344416562
2025-09-17,102740.27388164107,100531.26602454737,100524.61631101715
2025-09-18,102773.00168627001,100534.94661845884,100528.27507261492
2025-09-19,102849.96135140337,100540.99289337652,100534.32868254266
2025-09-20,102742.80646291522,100534.54213681592,100527.9237503694
2025-09-21,102585.51943535997,100521.46036677729,100514.81188425932
2025-09-22,102385.19196947913,100577.89605127583,100571.57065558148
2025-09-23,102576.92134043004,100588.84632842096,100582.45149865505
2025-09-24,102648.17528053114,100599.5989367422,100593.28022875462
2025-09-25,103002.3852780599,100613.67245753424,100607.25458550852
2025-09-26,102851.86978771159,100604.63934625048,100598.26521331299
2025-09-27,102892.87819717274,100609.9101757697,100603.55724629555
2025-09-28,102870.91534941102,100609.32944014469,100602.99836435607
2025-09-29,102964.33927650041,100615.52133253921,100609.17518445407
2025-09-30,102920.35002786896,100610.30045218878,100603.95053014036
2025-10-01,103016.13241415206,100616.8863725302,100610.52604318899
2025-10-02,103005.79625905526,100583.08580881731,100576.57779183035
2025-10-03,103084.38475720435,100586.51409991793,100579.95631516344
2025-10-04,103015.58712982861,100622.13193020133,100615.55367868273
2025-10-05,103112.63487260952,100630.95723936071,100624.38487188677
2025-10-06,103137.11943073425,100632.28263476318,100625.70016878631
2025-10-07,103290.92822305959,100641.2160628263,100634.59639232994
2025-10-08,103352.78830926941,100645.66937320969,100639.07228346645
2025-10-09,103381.06801298828,100636.87022761341,100630.10890059565
