variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,twap_slices_used,cancel_replace_triggered,micro_z_at_entry
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-06-30T06:45:00,61040.180000,2024-06-30T07:00:00,61727.580000,0.010061,2,twap_cancel_replace,1,True,3.590
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-07-01T22:15:00,62881.340000,2024-07-02T00:45:00,62926.650000,-0.001921,11,micro_z_compressed,4,False,-2.418
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-07-02T11:30:00,62793.790000,2024-07-02T14:30:00,61889.110000,-0.015607,13,micro_z_compressed,4,False,2.093
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-07-02T19:15:00,62008.010000,2024-07-02T21:15:00,62020.000000,-0.001393,9,micro_z_compressed,4,False,-2.269
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-07-03T01:00:00,62042.020000,2024-07-03T01:45:00,61617.910000,0.005636,4,twap_cancel_replace,3,True,-1.999
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-07-03T12:15:00,60237.300000,2024-07-03T15:00:00,60246.000000,-0.001056,12,micro_z_compressed,4,False,2.056
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-07-03T22:30:00,60345.300000,2024-07-03T23:30:00,60249.990000,-0.002779,5,micro_z_compressed,4,False,2.741
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-07-04T14:30:00,57296.280000,2024-07-04T18:15:00,58204.000000,0.014643,16,micro_z_compressed,4,False,2.005
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-07-04T23:15:00,57816.000000,2024-07-04T23:30:00,57121.990000,0.010804,2,twap_cancel_replace,1,True,-2.194
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-07-05T06:45:00,54283.990000,2024-07-05T09:00:00,53907.600000,-0.008134,10,micro_z_compressed,4,False,1.811
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-07-06T05:15:00,56378.430000,2024-07-06T09:45:00,56766.000000,0.005674,19,micro_z_compressed,4,False,2.560
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-07-06T12:30:00,56614.270000,2024-07-06T14:15:00,56841.090000,-0.005206,8,micro_z_compressed,4,False,-2.128
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-07-06T21:30:00,57907.980000,2024-07-07T02:30:00,58288.000000,-0.007762,21,micro_z_compressed,4,False,-2.286
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-07-07T22:30:00,56600.010000,2024-07-08T03:45:00,55160.010000,0.024242,22,micro_z_compressed,4,False,-2.220
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-07-08T12:45:00,57151.110000,2024-07-08T15:00:00,56491.100000,-0.012749,10,micro_z_compressed,4,False,1.865
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-07-09T16:30:00,57580.000000,2024-07-09T17:30:00,57395.850000,-0.004398,5,micro_z_compressed,4,False,2.034
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-07-10T00:45:00,57486.370000,2024-07-10T02:15:00,57733.410000,-0.005497,7,micro_z_compressed,4,False,-2.270
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-07-10T17:15:00,57623.070000,2024-07-10T18:30:00,57565.050000,-0.000193,6,micro_z_compressed,4,False,-1.890
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-07-10T22:00:00,57534.540000,2024-07-11T03:00:00,57630.000000,0.000459,21,micro_z_compressed,4,False,2.717
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-07-11T05:15:00,57755.230000,2024-07-11T09:00:00,58252.010000,-0.009801,16,micro_z_compressed,4,False,-1.959
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-07-11T18:00:00,57828.010000,2024-07-11T23:45:00,57339.890000,0.007241,24,micro_z_compressed,4,False,-1.836
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,long,2024-07-13T05:15:00,57924.000000,2024-07-13T07:00:00,58085.630000,0.001590,8,micro_z_compressed,4,False,1.863
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-07-13T08:45:00,57949.930000,2024-07-13T09:15:00,58206.010000,-0.005619,3,twap_cancel_replace,2,True,-3.151
vpvr_xs_smart_routing_15m_20260715,BTCUSDT,short,2024-07-13T17:30:00,58657.780000,2024-07-13T19:45:00,58624.380000,-0.000631,10,micro_z_compressed,4,False,-1.847
