,equity
2023-09-21,6.64766037228236e-26
2023-09-22,6.11381963922221e-26
2023-09-23,6.012037468052305e-26
2023-09-24,5.371808738482497e-26
2023-09-25,5.051027206170132e-26
2023-09-26,4.4812706068790337e-26
2023-09-27,4.0157920113254485e-26
2023-09-28,3.4768730009540486e-26
2023-09-29,3.1657120291830685e-26
2023-09-30,2.7978963681515976e-26
2023-10-01,2.1738262789963625e-26
2023-10-02,2.0781574528433128e-26
2023-10-03,1.8733613417209765e-26
2023-10-04,1.5371029495214415e-26
2023-10-05,1.4043798458012086e-26
2023-10-06,1.2729143853475904e-26
2023-10-07,1.1878085244529161e-26
2023-10-08,1.0969214391516433e-26
2023-10-09,9.437397269904175e-27
2023-10-10,8.559459310405e-27
2023-10-11,8.141285473517917e-27
2023-10-12,7.038472322808762e-27
2023-10-13,6.173227867680333e-27
2023-10-14,5.9284722977844055e-27
2023-10-15,5.339160869263655e-27
2023-10-16,4.871713342929545e-27
2023-10-17,4.438436397486681e-27
2023-10-18,4.3342507356991514e-27
2023-10-19,3.7628379043487915e-27
2023-10-20,3.362441165213763e-27
2023-10-21,2.703399993164102e-27
2023-10-22,2.5580379635733124e-27
2023-10-23,2.2788992345601456e-27
2023-10-24,2.0979111931344234e-27
2023-10-25,1.8037277517271208e-27
2023-10-26,1.6509444750971764e-27
2023-10-27,1.6014478629900527e-27
2023-10-28,1.5172705089942898e-27
2023-10-29,1.389185515017341e-27
2023-10-30,1.2219857075949762e-27
2023-10-31,1.0054898736582101e-27
2023-11-01,8.406504295712644e-28
2023-11-02,7.834113456329754e-28
2023-11-03,7.66278988881482e-28
2023-11-04,7.383369472213342e-28
2023-11-05,6.957554117205833e-28
2023-11-06,5.745147441955957e-28
2023-11-07,5.245734573404327e-28
2023-11-08,5.083506025812298e-28
2023-11-09,4.239527792097589e-28
2023-11-10,3.475601665043253e-28
2023-11-11,3.0721541355527273e-28
2023-11-12,2.9658855768797647e-28
2023-11-13,2.831380771763101e-28
2023-11-14,2.556711511784499e-28
2023-11-15,2.1679447967224426e-28
2023-11-16,1.9564692656049026e-28
2023-11-17,1.858308094186272e-28
2023-11-18,1.7375112445208402e-28
2023-11-19,1.6021580767927293e-28
2023-11-20,1.3999786493552763e-28
2023-11-21,1.2032199029103749e-28
2023-11-22,1.0903137037762575e-28
2023-11-23,1.0336263222360597e-28
2023-11-24,9.17419310862859e-29
2023-11-25,7.627891444045076e-29
2023-11-26,6.74431346178611e-29
2023-11-27,6.180018473805205e-29
2023-11-28,5.74489655972768e-29
2023-11-29,4.8429928951117256e-29
2023-11-30,4.484496355330273e-29
2023-12-01,4.175399185439939e-29
2023-12-02,3.5641667604841134e-29
2023-12-03,3.0269094909082117e-29
2023-12-04,2.792995604011138e-29
2023-12-05,2.5194166922999844e-29
2023-12-06,2.1928772337057346e-29
2023-12-07,1.833468675054168e-29
2023-12-08,1.6259616336704384e-29
2023-12-09,1.4807201249652043e-29
2023-12-10,1.372388586594296e-29
2023-12-11,1.2088532120780116e-29
2023-12-12,1.1206814337752694e-29
2023-12-13,9.828892486847613e-30
2023-12-14,7.7758314329423e-30
2023-12-15,6.649907022970148e-30
2023-12-16,6.201233015099202e-30
2023-12-17,5.5852276680616796e-30
2023-12-18,4.864228725399949e-30
2023-12-19,4.400990826642176e-30
2023-12-20,4.0377698601694915e-30
2023-12-21,3.573792671969995e-30
