variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,poc_dist_at_entry,funding_z_at_entry
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-10-19T13:00:00,19123.800000,2022-10-19T18:00:00,19186.320000,0.002069,6,time_stop,-3.871,1.242
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-10-22T16:00:00,19193.860000,2022-10-22T21:00:00,19201.970000,-0.001623,6,time_stop,2.109,-1.844
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-10-25T16:00:00,19813.640000,2022-10-25T17:00:00,20118.550000,-0.016589,2,sl_atr,4.861,-1.285
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-10-25T20:00:00,20188.990000,2022-10-26T01:00:00,20230.320000,-0.003247,6,time_stop,5.632,-1.308
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-10-30T07:00:00,20850.850000,2022-10-30T12:00:00,20726.050000,0.004785,6,time_stop,6.042,-1.348
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-10-30T19:00:00,20647.490000,2022-10-31T00:00:00,20542.430000,-0.006288,6,time_stop,-1.212,1.289
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-11-02T20:00:00,20175.600000,2022-11-03T01:00:00,20306.000000,0.005263,6,time_stop,-1.676,1.688
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-11-03T17:00:00,20226.180000,2022-11-03T22:00:00,20195.410000,-0.002721,6,time_stop,-1.811,2.110
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-11-07T09:00:00,20681.130000,2022-11-07T14:00:00,20654.360000,-0.002494,6,time_stop,-5.501,1.433
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-11-07T17:00:00,20703.000000,2022-11-07T22:00:00,20461.430000,-0.012868,6,sl_atr,-4.692,1.288
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-11-15T08:00:00,16921.320000,2022-11-15T13:00:00,17012.530000,-0.006590,6,time_stop,1.425,-1.544
vpvr_funding_reset_window_1h_20260715,BTCUSDT,short,2022-11-16T03:00:00,16969.990000,2022-11-16T08:00:00,16789.840000,0.009416,6,time_stop,1.248,-1.416
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-11-21T01:00:00,16214.150000,2022-11-21T02:00:00,16010.700000,-0.013748,2,sl_atr,-3.945,1.940
vpvr_funding_reset_window_1h_20260715,BTCUSDT,long,2022-11-21T07:00:00,16039.730000,2022-11-21T12:00:00,16113.860000,0.003422,6,time_stop,-1.758,1.660
