symbol,tf,er,fast,slow,lb,year,roll2y_t
ETH,4h,20,3,50,3,2026,0.18750604429498005
ETH,4h,15,2,50,5,2019,
ETH,4h,15,2,50,5,2020,
ETH,4h,15,2,50,5,2021,3.0234750266136166
ETH,4h,15,2,50,5,2022,1.7306602397899575
ETH,4h,15,2,50,5,2023,0.6605512312419403
ETH,4h,15,2,50,5,2024,1.494203417916723
ETH,4h,15,2,50,5,2025,1.2495108454243615
ETH,4h,15,2,50,5,2026,0.1827808662382094
ETH,4h,5,2,30,10,2019,
ETH,4h,5,2,30,10,2020,
ETH,4h,5,2,30,10,2021,2.9577196290020877
ETH,4h,5,2,30,10,2022,0.7985091066011951
ETH,4h,5,2,30,10,2023,-0.08782986577598803
ETH,4h,5,2,30,10,2024,1.6464470534954752
ETH,4h,5,2,30,10,2025,1.8678159758627628
ETH,4h,5,2,30,10,2026,0.977282242165372
ETH,1d,10,3,30,1,2019,
ETH,1d,10,3,30,1,2020,
ETH,1d,10,3,30,1,2021,3.6336814292004247
ETH,1d,10,3,30,1,2022,2.0269161826046225
ETH,1d,10,3,30,1,2023,0.527718637989782
ETH,1d,10,3,30,1,2024,1.3334369203716814
ETH,1d,10,3,30,1,2025,0.6980927094530206
ETH,1d,10,3,30,1,2026,0.280220756853853
ETH,1d,20,2,30,1,2019,
ETH,1d,20,2,30,1,2020,
ETH,1d,20,2,30,1,2021,3.217322922083949
ETH,1d,20,2,30,1,2022,2.0157976061183693
ETH,1d,20,2,30,1,2023,0.541055952998008
ETH,1d,20,2,30,1,2024,1.2860247335660047
ETH,1d,20,2,30,1,2025,1.4962177388025808
ETH,1d,20,2,30,1,2026,0.630612582755306
ETH,1d,10,3,30,3,2019,
ETH,1d,10,3,30,3,2020,
ETH,1d,10,3,30,3,2021,3.4967785164901306
ETH,1d,10,3,30,3,2022,1.645219172945151
ETH,1d,10,3,30,3,2023,0.1111650743161253
ETH,1d,10,3,30,3,2024,1.5140025948799665
ETH,1d,10,3,30,3,2025,1.5079092669118122
ETH,1d,10,3,30,3,2026,0.7504844990809143
ETH,1d,10,3,50,1,2019,
ETH,1d,10,3,50,1,2020,
ETH,1d,10,3,50,1,2021,3.344321564197069
