symbol,tf,er,fast,slow,lb,t,ann_ret,n_bars,n_rt
BTC,1d,10,2,20,5,2.3263356164251823,0.0007549782229732127,2511,84
BTC,1d,10,2,20,10,2.1346575850649656,0.0006833934565408928,2511,63
BTC,1d,10,2,30,1,1.997629158202319,0.0006100473090360214,2511,174
BTC,1d,10,2,30,3,1.7252987050882054,0.0005057565045030188,2511,105
BTC,1d,10,2,30,5,2.1665721491477505,0.0006894405658348646,2511,82
BTC,1d,10,2,30,10,2.3452497537059522,0.0007686272377924741,2511,62
BTC,1d,10,2,50,1,1.977513341257619,0.000604279431102972,2511,165
BTC,1d,10,2,50,3,1.8388063454998729,0.0005493197307602227,2511,101
BTC,1d,10,2,50,5,1.9349433740529816,0.000596665287823539,2511,79
BTC,1d,10,2,50,10,2.317107475146733,0.0007556391093352932,2511,61
BTC,1d,10,3,20,1,2.411334868733175,0.0007865956189259116,2511,119
BTC,1d,10,3,20,3,2.0044273412543894,0.0006215853899151913,2511,75
BTC,1d,10,3,20,5,2.1439445821734124,0.0006803030035567037,2511,61
BTC,1d,10,3,20,10,2.1268679827316146,0.0006769243701760796,2511,48
BTC,1d,10,3,30,1,2.387702484491373,0.0007787930408325039,2511,112
BTC,1d,10,3,30,3,2.091444909065795,0.0006583603265115645,2511,70
BTC,1d,10,3,30,5,2.2041603353031984,0.0007047613468316172,2511,56
BTC,1d,10,3,30,10,2.0296621830061174,0.0006350856553336559,2511,44
BTC,1d,10,3,50,1,2.3082824648311,0.0007453306993796538,2511,108
BTC,1d,10,3,50,3,2.2186274427017687,0.0007130498406555663,2511,67
BTC,1d,10,3,50,5,2.197217208856419,0.0007011965700876033,2511,55
BTC,1d,10,3,50,10,2.1090948749083003,0.0006719869413527313,2511,41
BTC,1d,15,2,20,1,1.8820081297710616,0.0005590970166302611,2511,159
BTC,1d,15,2,20,3,1.885834828196028,0.0005634552167386175,2511,97
BTC,1d,15,2,20,5,2.022572137182807,0.0006265910308258515,2511,79
BTC,1d,15,2,20,10,2.44694038024826,0.0008036490481813097,2511,55
BTC,1d,15,2,30,1,1.8557652480318452,0.0005472520191294183,2511,145
BTC,1d,15,2,30,3,1.7687337621599926,0.0005164486557025505,2511,94
BTC,1d,15,2,30,5,2.1961922171916135,0.0006937646196725211,2511,71
BTC,1d,15,2,30,10,2.2737401513085738,0.0007235787245076786,2511,52
BTC,1d,15,2,50,1,2.1914121752344786,0.0006809911379164202,2511,132
BTC,1d,15,2,50,3,1.611191532794105,0.00045017866143748364,2511,86
BTC,1d,15,2,50,5,2.1299624435063302,0.000667111990734659,2511,71
BTC,1d,15,2,50,10,2.1658688494419107,0.0006809617209875274,2511,48
BTC,1d,15,3,20,1,2.542639985901112,0.0008358316723051651,2511,102
BTC,1d,15,3,20,3,2.102687096451694,0.0006613691477623806,2511,64
BTC,1d,15,3,20,5,2.0936180436079748,0.0006607845381514377,2511,55
BTC,1d,15,3,20,10,1.8353515592638372,0.000551866440207105,2511,39
BTC,1d,15,3,30,1,1.9445570648448451,0.000591906298035294,2511,108
BTC,1d,15,3,30,3,2.118897930272634,0.0006706465149086682,2511,64
BTC,1d,15,3,30,5,2.0555718997266688,0.0006413168027472604,2511,51
BTC,1d,15,3,30,10,1.630140664121127,0.00046696406887147823,2511,38
BTC,1d,15,3,50,1,1.7631947967398514,0.0005179590550961066,2511,97
BTC,1d,15,3,50,3,1.8444616615046414,0.0005526247761291625,2511,66
BTC,1d,15,3,50,5,1.9831140379287133,0.0006117238971126149,2511,50
BTC,1d,15,3,50,10,1.5917957323582697,0.0004489212973322054,2511,35
BTC,1d,20,2,20,1,2.0917162535720086,0.0006420872306669434,2511,145
BTC,1d,20,2,20,3,1.301477776315272,0.0003239806425889835,2511,90
BTC,1d,20,2,20,5,1.7670553830243236,0.0005195398571755661,2511,72
BTC,1d,20,2,20,10,2.260417551543054,0.0007255639682335335,2511,47
BTC,1d,20,2,30,1,2.3306549887717622,0.0007380148180278212,2511,127
BTC,1d,20,2,30,3,1.4512875625710986,0.0003845694202537775,2511,83
BTC,1d,20,2,30,5,1.913818414882195,0.0005806739464058186,2511,64
BTC,1d,20,2,30,10,2.264108382324825,0.0007261421787099209,2511,44
BTC,1d,20,2,50,1,2.069828895567764,0.0006320116074136628,2511,121
BTC,1d,20,2,50,3,1.4114941051204992,0.0003682112613838662,2511,78
BTC,1d,20,2,50,5,1.8217704384437998,0.0005407815955478235,2511,56
BTC,1d,20,2,50,10,1.8884268830146806,0.0005602034897629338,2511,46
BTC,1d,20,3,20,1,2.1833192846356186,0.0006884365886385968,2511,106
BTC,1d,20,3,20,3,1.8261829337005597,0.0005460519970836852,2511,65
BTC,1d,20,3,20,5,1.9772472623122683,0.0006118854461769629,2511,51
BTC,1d,20,3,20,10,1.7531204938972331,0.0005137548961324789,2511,39
BTC,1d,20,3,30,1,1.665094767829914,0.00047438178403491627,2511,96
BTC,1d,20,3,30,3,2.106886478344929,0.0006612662558709292,2511,53
BTC,1d,20,3,30,5,1.8698661357111106,0.0005630189483751824,2511,49
BTC,1d,20,3,30,10,1.648918941198224,0.0004726242214272425,2511,37
BTC,1d,20,3,50,1,1.7686527450438194,0.0005205550517108914,2511,92
BTC,1d,20,3,50,3,1.8640097506032742,0.000561086135163702,2511,58
BTC,1d,20,3,50,5,1.7944770340779108,0.000532566532282841,2511,49
BTC,1d,20,3,50,10,1.5366270567183296,0.00042405384126320556,2511,32
ETH,1h,5,2,20,1,-0.9484118651297634,-3.8773767910837975e-05,58360,5924
ETH,1h,5,2,20,3,0.551863899471405,-3.1109378445526303e-06,58360,3492
ETH,1h,5,2,20,5,1.4244561938168632,1.7369062953465075e-05,58360,2828
ETH,1h,5,2,20,10,3.198749014263773,5.873102238695971e-05,58360,1821
ETH,1h,5,2,30,1,-0.7374257979051096,-3.385163171365502e-05,58360,5725
ETH,1h,5,2,30,3,0.5265962683879625,-3.713143099437488e-06,58360,3442
ETH,1h,5,2,30,5,1.1740684803433052,1.1529656526176879e-05,58360,2808
ETH,1h,5,2,30,10,2.990723796841531,5.399047210508101e-05,58360,1812
ETH,1h,5,2,50,1,-0.6845928335143804,-3.260963434559283e-05,58360,5592
ETH,1h,5,2,50,3,0.6215859014303375,-1.478069587390607e-06,58360,3383
ETH,1h,5,2,50,5,1.1334619272674227,1.058077313520478e-05,58360,2790
ETH,1h,5,2,50,10,3.207504280106595,5.908422098377386e-05,58360,1787
ETH,1h,5,3,20,1,-0.08616765204646971,-1.8098725337867272e-05,58360,4178
ETH,1h,5,3,20,3,1.0990887893083208,9.797384201037929e-06,58360,2546
ETH,1h,5,3,20,5,2.252825955578298,3.6602276517916366e-05,58360,2087
ETH,1h,5,3,20,10,2.816135495615276,5.0040721961241985e-05,58360,1392
ETH,1h,5,3,30,1,0.173468364657886,-1.1980993613880386e-05,58360,3975
ETH,1h,5,3,30,3,1.3991632573315298,1.6768949921974752e-05,58360,2483
ETH,1h,5,3,30,5,2.1170817858086144,3.3443814086764334e-05,58360,2056
ETH,1h,5,3,30,10,2.916545930650755,5.2303803718567465e-05,58360,1366
ETH,1h,5,3,50,1,0.3536049600357911,-7.71188187820293e-06,58360,3846
ETH,1h,5,3,50,3,1.3494944042222885,1.5614842363342873e-05,58360,2444
ETH,1h,5,3,50,5,2.318146959891945,3.807617281048614e-05,58360,2015
ETH,1h,5,3,50,10,2.893603233134065,5.1757435099997195e-05,58360,1358
ETH,1h,10,2,20,1,-0.31863214846408255,-2.3716117368732803e-05,58360,4483
ETH,1h,10,2,20,3,0.6335949570242085,-8.664246740064385e-07,58360,2626
ETH,1h,10,2,20,5,2.0765616517958847,3.246628642372684e-05,58360,2031
ETH,1h,10,2,20,10,3.2738194576880257,6.052352872898403e-05,58360,1455
ETH,1h,10,2,30,1,-0.5500301522832178,-2.9020936601953373e-05,58360,4286
ETH,1h,10,2,30,3,0.9058135270670119,5.4149885191367986e-06,58360,2518
ETH,1h,10,2,30,5,2.08607740089712,3.2708488224786336e-05,58360,1951
ETH,1h,10,2,30,10,2.9323509056511607,5.2677196373140944e-05,58360,1439
ETH,1h,10,2,50,1,-0.35352009952110597,-2.4343037854923644e-05,58360,4103
ETH,1h,10,2,50,3,0.7406813591533937,1.6324397194011908e-06,58360,2447
ETH,1h,10,2,50,5,1.929063478393106,2.9063325799549844e-05,58360,1902
ETH,1h,10,2,50,10,2.8467892807693502,5.066814614940185e-05,58360,1400
ETH,1h,10,3,20,1,0.8017267123577205,2.9123735867386813e-06,58360,3381
ETH,1h,10,3,20,3,1.5146412953150723,1.940853857096414e-05,58360,1987
ETH,1h,10,3,20,5,2.387174041854736,3.955963488255776e-05,58360,1561
ETH,1h,10,3,20,10,2.4740399252283365,4.19157697069128e-05,58360,1165
ETH,1h,10,3,30,1,0.5541033934456806,-2.7633641851432245e-06,58360,3145
