symbol,tf,er,fast,slow,lb,year,t,mean
BTC,4h,10,3,20,10,2024,2.1839130581577586,0.00036915835778553847
BTC,4h,10,3,20,10,2025,-0.10909522624142266,-1.48456975455653e-05
BTC,4h,10,3,20,10,2026,-0.8718908800960341,-0.0001486178036352
BTC,4h,10,3,20,10,20242026,1.1442167132121976,0.00010601135641042706
BTC,4h,15,3,50,5,2019,-0.2478709263639836,-6.863666221760776e-05
BTC,4h,15,3,50,5,2020,2.3545912234585407,0.0005103736064834832
BTC,4h,15,3,50,5,2021,0.8411849749908256,0.00020817865547989895
BTC,4h,15,3,50,5,2022,-1.2953398399938785,-0.00020292812565562578
BTC,4h,15,3,50,5,2023,2.342737208860024,0.0003832114300507626
BTC,4h,15,3,50,5,2024,2.1207681383019796,0.00035062955394218334
BTC,4h,15,3,50,5,2025,-0.3905442875526659,-5.205547958619283e-05
BTC,4h,15,3,50,5,2026,-0.28814057120387004,-4.775184126806517e-05
BTC,4h,15,3,50,5,20242026,1.1742223628373694,0.00010634726413880915
BTC,1d,5,2,50,10,2019,-0.8801228481816081,-0.0007849013646589563
BTC,1d,5,2,50,10,2020,3.2971039351183538,0.004656557618233183
BTC,1d,5,2,50,10,2021,1.2341825727384974,0.0018816117320145417
BTC,1d,5,2,50,10,2022,-1.3870421108888817,-0.0015037607334867776
BTC,1d,5,2,50,10,2023,1.4475733607097345,0.0013854595330538766
BTC,1d,5,2,50,10,2024,1.939349422239605,0.002287911640176039
BTC,1d,5,2,50,10,2025,-0.3294358817260702,-0.00022835734172413632
BTC,1d,5,2,50,10,2026,-0.06958299364897298,-6.4704221581795e-05
BTC,1d,5,2,50,10,20242026,1.3813279792231428,0.0007914111807167227
BTC,1d,5,3,20,10,2019,-1.3145002947306552,-0.001076428985320923
BTC,1d,5,3,20,10,2020,2.9424240928011325,0.0042517561804687526
BTC,1d,5,3,20,10,2021,1.2186137043406426,0.0019144030519674853
BTC,1d,5,3,20,10,2022,-1.1920132185192784,-0.001203773321914994
BTC,1d,5,3,20,10,2023,1.7145852314834795,0.0016268784722016484
BTC,1d,5,3,20,10,2024,1.4262829304238642,0.001678702559059295
BTC,1d,5,3,20,10,2025,-0.6845951794444012,-0.0004535173150313302
BTC,1d,5,3,20,10,2026,0.627523566391967,0.0005214023465744443
BTC,1d,5,3,20,10,20242026,1.0629630011842615,0.0005937593992275935
BTC,1d,5,2,30,10,2019,-0.8801228481816081,-0.0007849013646589563
BTC,1d,5,2,30,10,2020,3.2386474577448685,0.004582454697940975
BTC,1d,5,2,30,10,2021,1.0193462954467711,0.0015838870562420546
BTC,1d,5,2,30,10,2022,-1.431652046119503,-0.001558167770160735
BTC,1d,5,2,30,10,2023,1.4390818784867532,0.001370772308144049
BTC,1d,5,2,30,10,2024,1.904606093738573,0.0022485665394908552
BTC,1d,5,2,30,10,2025,-0.26949001770441744,-0.00018710458876890603
BTC,1d,5,2,30,10,2026,-0.06958299364897298,-6.4704221581795e-05
BTC,1d,5,2,30,10,20242026,1.3815800363297002,0.00079211304821446
BTC,1d,15,3,20,1,2019,-0.9726965058688019,-0.0011045826809115604
BTC,1d,15,3,20,1,2020,3.0561951433515686,0.004291168714753971
BTC,1d,15,3,20,1,2021,1.2472983015154182,0.0018667270489998954
BTC,1d,15,3,20,1,2022,-1.4849127048162976,-0.0011753742166736461
BTC,1d,15,3,20,1,2023,1.7479444196448948,0.0017755487867226975
BTC,1d,15,3,20,1,2024,0.9352662040324364,0.0010622685460210876
BTC,1d,15,3,20,1,2025,-0.08955914392947978,-6.28441921481315e-05
BTC,1d,15,3,20,1,2026,-0.5252130837150404,-0.00040407716121445045
BTC,1d,15,3,20,1,20242026,0.5517078123880784,0.00030236788425287155
BTC,1d,5,3,30,10,2019,-1.0253927885812733,-0.0007857035143025989
BTC,1d,5,3,30,10,2020,2.8336160514861133,0.004125460837005792
BTC,1d,5,3,30,10,2021,1.2360705026717116,0.0019414456297686914
BTC,1d,5,3,30,10,2022,-1.7960398020058441,-0.001716070793188351
BTC,1d,5,3,30,10,2023,1.6347197741328183,0.0015518180211451086
