variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,kama_turn_at_entry,poc_distance_atr_at_entry
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-07 06:41:00+00:00,145.89,2025-05-07 06:44:00+00:00,145.69,-0.002370895880457801,3,hard_stop,1,0.5729166666668442
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-07 15:25:00+00:00,146.07,2025-05-07 15:28:00+00:00,145.79,0.0009168891627302509,3,take_profit,-1,0.29029733959323223
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-07 15:38:00+00:00,145.96,2025-05-07 15:47:00+00:00,145.67,-0.0029868457111539284,9,hard_stop,1,0.3600260416664943
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-07 17:19:00+00:00,146.0,2025-05-07 17:35:00+00:00,145.7,0.00105479452054802,16,take_profit,-1,0.18932748538005395
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-07 17:45:00+00:00,145.93,2025-05-07 17:52:00+00:00,145.47,-0.004152196258480178,7,hard_stop,1,0.27343749999999933
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-07 19:02:00+00:00,146.16,2025-05-07 19:07:00+00:00,146.43,-0.002847290640394128,5,hard_stop,-1,0.37670299727518536
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-07 19:23:00+00:00,146.15,2025-05-07 19:25:00+00:00,145.64,0.002489565514882109,2,take_profit,-1,0.39319620253165904
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-07 19:46:00+00:00,146.11,2025-05-07 19:50:00+00:00,145.57,0.002695845595784175,4,take_profit,-1,0.15617848970255707
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-07 20:12:00+00:00,146.05,2025-05-07 20:19:00+00:00,145.85,-0.002369394043136074,7,hard_stop,1,0.05303030303025482
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2025-05-07 20:26:00+00:00,146.02,2025-05-07 20:27:00+00:00,145.75,-0.0028490617723599945,1,hard_stop,1,0.29166666666660807
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-07 21:02:00+00:00,146.15,2025-05-07 21:04:00+00:00,146.31,-0.002094765651727725,2,hard_stop,-1,0.5546875000000262
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2025-05-08 19:16:00+00:00,159.89,2025-05-08 19:20:00+00:00,160.2,-0.0029388329476515143,4,hard_stop,-1,0.04200960219466768
