variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,gross_pnl_pct,cost_pct,net_pnl_pct,bars_held,exit_reason,funding_ema_at_entry,half_at_entry,slope_4h_at_entry
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 02:01:00+00:00,51703.1,2024-02-20 02:09:00+00:00,51676.0,-0.0005241465211950347,0.001,-0.0015241465211950347,8,hard_stop,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 02:14:00+00:00,51683.1,2024-02-20 02:19:00+00:00,51725.9,0.0008281237000102859,0.001,-0.00017187629998971412,5,take_profit,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 02:24:00+00:00,51654.7,2024-02-20 02:30:00+00:00,51663.0,0.00016068237740229918,0.001,-0.0008393176225977008,6,take_profit,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 02:35:00+00:00,51682.8,2024-02-20 02:36:00+00:00,51646.0,-0.0007120357256186205,0.001,-0.0017120357256186205,1,hard_stop,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 02:41:00+00:00,51607.7,2024-02-20 02:48:00+00:00,51583.6,-0.0004669845778827453,0.001,-0.0014669845778827453,7,hard_stop,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 02:53:00+00:00,51691.8,2024-02-20 02:55:00+00:00,51765.1,0.0014180198793618537,0.001,0.0004180198793618537,2,take_profit,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 03:00:00+00:00,51768.0,2024-02-20 03:01:00+00:00,51801.7,0.0006509813011899013,0.001,-0.00034901869881009875,1,take_profit,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 03:06:00+00:00,51725.3,2024-02-20 03:12:00+00:00,51691.0,-0.0006631184352725583,0.001,-0.0016631184352725583,6,hard_stop,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 03:17:00+00:00,51686.0,2024-02-20 03:19:00+00:00,51660.3,-0.0004972332933482759,0.001,-0.001497233293348276,2,hard_stop,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 03:24:00+00:00,51696.7,2024-02-20 03:27:00+00:00,51686.9,-0.00018956722576091156,0.001,-0.0011895672257609116,3,hard_stop,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 03:32:00+00:00,51694.5,2024-02-20 03:36:00+00:00,51712.8,0.0003540028436295195,0.001,-0.0006459971563704805,4,take_profit,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 03:41:00+00:00,51693.3,2024-02-20 03:45:00+00:00,51669.8,-0.0004546043684577894,0.001,-0.0014546043684577894,4,hard_stop,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 03:50:00+00:00,51661.4,2024-02-20 03:56:00+00:00,51627.2,-0.0006620029654637039,0.001,-0.0016620029654637039,6,hard_stop,0.0001325394612195859,lower,35.66102885021246
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 04:01:00+00:00,51608.1,2024-02-20 04:02:00+00:00,51567.5,-0.0007866982121023103,0.001,-0.0017866982121023103,1,hard_stop,0.0001325394612195859,lower,44.47040026784816
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 04:07:00+00:00,51643.3,2024-02-20 04:10:00+00:00,51694.2,0.0009856070390543703,0.001,-1.4392960945629717e-05,3,take_profit,0.0001325394612195859,lower,44.47040026784816
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 04:15:00+00:00,51747.7,2024-02-20 04:18:00+00:00,51733.2,-0.0002802056903011829,0.001,-0.001280205690301183,3,hard_stop,0.0001325394612195859,lower,44.47040026784816
vpvr_funding_carry_asym_v2_20260718,BTCUSDT,long,2024-02-20 04:23:00+00:00,51770.3,2024-02-20 04:35:00+00:00,51814.1,0.0008460449330986997,0.001,-0.00015395506690130036,12,take_profit,0.0001325394612195859,lower,44.47040026784816
