symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,session_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
ETHUSDT,long,2024-08-02 13:00:00,2024-08-02 13:00:00,3150.0,2024-08-02 14:30:00,2024-08-02 14:30:00,3085.735,hard_stop,-216.0159,-0.021602,6,london,0.1,1.0,100000.0
ETHUSDT,long,2024-08-02 21:45:00,2024-08-02 21:45:00,3002.65,2024-08-03 00:45:00,2024-08-03 00:45:00,2961.07,hard_stop,-150.4777,-0.015048,12,us,0.5755,1.0,100000.0
ETHUSDT,short,2024-08-03 13:45:00,2024-08-03 13:45:00,3006.39,2024-08-03 15:15:00,2024-08-03 15:15:00,2975.49,take_profit,90.7811,0.009078,6,london,0.3362,1.0,100000.0
ETHUSDT,short,2024-08-03 23:00:00,2024-08-03 23:00:00,2909.595,2024-08-04 07:00:00,2024-08-04 07:00:00,2911.845,time_stop,-19.733,-0.001973,32,us,0.0798,1.0,100000.0
ETHUSDT,long,2024-08-04 09:00:00,2024-08-04 09:00:00,2906.74,2024-08-04 14:15:00,2024-08-04 14:15:00,2880.29,hard_stop,-102.9954,-0.0103,21,london,0.0408,1.0,100000.0
ETHUSDT,short,2024-08-04 18:45:00,2024-08-04 18:45:00,2728.18,2024-08-04 23:45:00,2024-08-04 23:45:00,2687.6,take_profit,136.7439,0.013674,20,us,0.4528,1.0,100000.0
ETHUSDT,short,2024-08-05 08:00:00,2024-08-05 08:00:00,2339.33,2024-08-05 11:00:00,2024-08-05 11:00:00,2252.955,take_profit,357.2297,0.035723,12,london,0.0396,1.0,100000.0
ETHUSDT,short,2024-08-05 13:45:00,2024-08-05 13:45:00,2335.88,2024-08-05 15:30:00,2024-08-05 15:30:00,2430.665,hard_stop,-417.7786,-0.041778,7,london,0.1823,1.0,100000.0
ETHUSDT,short,2024-08-06 10:30:00,2024-08-06 10:30:00,2459.3,2024-08-06 14:15:00,2024-08-06 14:15:00,2528.1,hard_stop,-291.7544,-0.029175,15,london,0.0091,1.0,100000.0
ETHUSDT,long,2024-08-07 16:45:00,2024-08-07 16:45:00,2389.95,2024-08-07 18:15:00,2024-08-07 18:15:00,2357.36,hard_stop,-148.3627,-0.014836,6,us,0.0451,1.0,100000.0
ETHUSDT,long,2024-08-07 22:30:00,2024-08-07 22:30:00,2339.415,2024-08-08 01:30:00,2024-08-08 01:30:00,2408.615,take_profit,283.8004,0.02838,12,us,0.433,1.0,100000.0
ETHUSDT,short,2024-08-08 14:00:00,2024-08-08 14:00:00,2454.69,2024-08-08 14:45:00,2024-08-08 14:45:00,2497.91,hard_stop,-188.0711,-0.018807,3,london,0.0847,1.0,100000.0
ETHUSDT,short,2024-08-09 08:00:00,2024-08-09 08:00:00,2668.465,2024-08-09 11:00:00,2024-08-09 11:00:00,2628.055,take_profit,139.4354,0.013944,12,london,0.2023,1.0,100000.0
ETHUSDT,short,2024-08-09 22:45:00,2024-08-09 22:45:00,2596.7,2024-08-10 06:00:00,2024-08-10 06:00:00,2608.89,hard_stop,-58.9442,-0.005894,29,us,0.3055,1.0,100000.0
ETHUSDT,short,2024-08-10 15:45:00,2024-08-10 15:45:00,2598.45,2024-08-10 21:15:00,2024-08-10 21:15:00,2615.0,hard_stop,-75.6918,-0.007569,22,london,0.0277,1.0,100000.0
ETHUSDT,long,2024-08-10 23:15:00,2024-08-10 23:15:00,2603.68,2024-08-11 00:30:00,2024-08-11 00:30:00,2620.665,take_profit,53.2346,0.005323,5,us,0.0051,1.0,100000.0
ETHUSDT,short,2024-08-11 13:15:00,2024-08-11 13:15:00,2624.84,2024-08-11 20:00:00,2024-08-11 20:00:00,2579.115,take_profit,162.2011,0.01622,27,london,0.5973,1.0,100000.0
ETHUSDT,short,2024-08-11 22:00:00,2024-08-11 22:00:00,2566.56,2024-08-12 04:45:00,2024-08-12 04:45:00,2537.81,take_profit,100.0176,0.010002,27,us,0.2388,1.0,100000.0
ETHUSDT,short,2024-08-12 08:45:00,2024-08-12 08:45:00,2561.54,2024-08-12 09:45:00,2024-08-12 09:45:00,2595.29,hard_stop,-143.7567,-0.014376,4,london,0.2842,1.0,100000.0
ETHUSDT,short,2024-08-12 20:45:00,2024-08-12 20:45:00,2679.77,2024-08-12 23:00:00,2024-08-12 23:00:00,2709.06,hard_stop,-121.3004,-0.01213,9,us,0.3268,1.0,100000.0
ETHUSDT,short,2024-08-13 12:30:00,2024-08-13 12:30:00,2646.86,2024-08-13 13:45:00,2024-08-13 13:45:00,2667.6,hard_stop,-90.357,-0.009036,5,london,0.3408,1.0,100000.0
ETHUSDT,long,2024-08-13 15:45:00,2024-08-13 15:45:00,2650.75,2024-08-13 16:45:00,2024-08-13 16:45:00,2714.4,take_profit,228.1207,0.022812,4,london,0.2889,1.0,100000.0
ETHUSDT,long,2024-08-13 18:45:00,2024-08-13 18:45:00,2696.49,2024-08-13 21:45:00,2024-08-13 21:45:00,2729.15,take_profit,109.1204,0.010912,12,us,0.5886,1.0,100000.0
ETHUSDT,short,2024-08-14 12:45:00,2024-08-14 12:45:00,2730.07,2024-08-14 13:45:00,2024-08-14 13:45:00,2658.04,take_profit,251.8394,0.025184,4,london,0.5895,1.0,100000.0
ETHUSDT,short,2024-08-14 15:45:00,2024-08-14 15:45:00,2672.73,2024-08-14 23:45:00,2024-08-14 23:45:00,2659.82,time_stop,36.3027,0.00363,32,london,0.2989,1.0,100000.0
ETHUSDT,long,2024-08-15 13:15:00,2024-08-15 13:15:00,2654.42,2024-08-15 17:30:00,2024-08-15 17:30:00,2631.305,hard_stop,-99.0812,-0.009908,17,london,0.1277,1.0,100000.0
ETHUSDT,short,2024-08-16 12:15:00,2024-08-16 12:15:00,2590.62,2024-08-16 19:15:00,2024-08-16 19:15:00,2623.37,hard_stop,-138.4176,-0.013842,28,london,0.494,1.0,100000.0
ETHUSDT,long,2024-08-17 08:30:00,2024-08-17 08:30:00,2597.825,2024-08-17 14:45:00,2024-08-17 14:45:00,2612.33,take_profit,43.8352,0.004384,25,london,0.5433,1.0,100000.0
ETHUSDT,short,2024-08-17 21:15:00,2024-08-17 21:15:00,2603.38,2024-08-17 23:45:00,2024-08-17 23:45:00,2613.18,hard_stop,-49.6434,-0.004964,10,us,0.1813,1.0,100000.0
ETHUSDT,long,2024-08-18 08:00:00,2024-08-18 08:00:00,2607.49,2024-08-18 09:00:00,2024-08-18 09:00:00,2618.31,take_profit,29.4958,0.00295,4,london,0.0264,1.0,100000.0
ETHUSDT,long,2024-08-18 17:15:00,2024-08-18 17:15:00,2644.92,2024-08-18 19:30:00,2024-08-18 19:30:00,2665.245,take_profit,64.8454,0.006485,9,us,0.0474,1.0,100000.0
ETHUSDT,short,2024-08-18 22:00:00,2024-08-18 22:00:00,2646.49,2024-08-18 23:30:00,2024-08-18 23:30:00,2619.27,take_profit,90.8532,0.009085,6,us,0.0842,1.0,100000.0
ETHUSDT,short,2024-08-19 08:30:00,2024-08-19 08:30:00,2616.605,2024-08-19 09:45:00,2024-08-19 09:45:00,2578.54,take_profit,133.4748,0.013347,5,london,0.395,1.0,100000.0
ETHUSDT,long,2024-08-19 14:00:00,2024-08-19 14:00:00,2568.665,2024-08-19 17:15:00,2024-08-19 17:15:00,2599.1,take_profit,106.4857,0.010649,13,london,0.5912,1.0,100000.0
